ASX code,Company name,Listing date,GICs industry group,Market Cap
GBR,GREAT BOULDER RESOURCES LIMITED,18/11/16,Materials,32472868
GBZ,GBM RESOURCES LIMITED,24/10/07,Materials,60934465
GC1,GLENNON SMALL COMPANIES LIMITED,21/8/15,Not Applic,38698051
GCI,GRYPHON CAPITAL INCOME TRUST,25/5/18,Not Applic,424621138
GCR,GOLDEN CROSS RESOURCES LTD,27/3/96,Materials,N/A
GCY,GASCOYNE RESOURCES LIMITED,11/12/09,Materials,82783182
GDA,GOOD DRINKS AUSTRALIA LTD,13/12/06,"Food, Beverage & Tobacco",112478747
GDC,GLOBAL DATA CENTRE GROUP,31/10/19,Not Applic,116799712
GDF,GARDA PROPERTY GROUP,2/7/15,Real Estate,295937669
GDG,GENERATION DEVELOPMENT GROUP LIMITED,11/12/07,Insurance,174534251
GDI,GDI PROPERTY GROUP,17/12/13,Real Estate,596186620
GED,GOLDEN DEEPS LIMITED.,4/12/86,Materials,9310217
GEM,G8 EDUCATION LIMITED,5/12/07,Consumer Services,817731654
GEN,GENMIN LIMITED,10/3/21,Materials,80651766
GES,GENESIS RESOURCES LIMITED,27/10/09,Materials,11742619
GEV,GLOBAL ENERGY VENTURES LIMITED,21/3/05,Energy,30744039
GFL,GLOBAL MASTERS FUND LIMITED,16/5/06,Not Applic,25199424
GGE,GRAND GULF ENERGY LIMITED,20/3/98,Energy,4221244
GGG,GREENLAND MINERALS LIMITED,20/6/06,Materials,120944461
GGX,GAS2GRID LIMITED,13/5/05,Energy,10222755
GIB,GIBB RIVER DIAMONDS LIMITED,1/7/08,Materials,13113586
GL1,GLOBAL LITHIUM RESOURCES LIMITED,6/5/21,Materials,32952085
GLA,GLADIATOR RESOURCES LIMITED,27/6/06,Materials,6137763
GLB,GLOBE INTERNATIONAL LIMITED,24/5/01,Consumer Durables & Apparel,234270572
GLE,GLG CORP LTD,14/12/05,Consumer Durables & Apparel,23712000
GLH,GLOBAL HEALTH LIMITED,4/4/00,Health Care Equipment & Services,23278200
GLL,GALILEE ENERGY LIMITED,15/2/96,Energy,144677672
GLN,GALAN LITHIUM LIMITED,8/6/11,Materials,251025224
GLV,GLOBAL OIL & GAS LIMITED,25/5/05,Energy,15273171
GMA,GENWORTH MORTGAGE INSURANCE AUSTRALIA LIMITED,20/5/14,Banks,919906630
GMC,GULF MANGANESE CORPORATION LIMITED,3/8/07,Materials,N/A
GMD,GENESIS MINERALS LIMITED,2/8/07,Materials,155222662
GME,GME RESOURCES LIMITED,21/8/80,Materials,26172746
GMG,GOODMAN GROUP,2/2/05,Real Estate,40310906344
GML,GATEWAY MINING LIMITED,2/8/71,Materials,36169076
GMN,GOLD MOUNTAIN LIMITED,2/9/11,Materials,19193123
GMR,GOLDEN RIM RESOURCES LTD,13/8/87,Materials,24033147
GNC,GRAINCORP LIMITED,30/3/98,Food & Staples Retailing,1199203491
GNE,GENESIS ENERGY LIMITED,17/4/14,Utilities,3495954981
GNG,GR ENGINEERING SERVICES LIMITED,19/4/11,Materials,233281609
GNM,GREAT NORTHERN MINERALS LIMITED,5/3/08,Materials,14508612
GNP,GENUSPLUS GROUP LTD,14/12/20,Capital Goods,138475068
GNX,GENEX POWER LIMITED,8/7/15,Utilities,256776011
